,0
geometry/Two-dimensional shapes/Circles,0.47058823529411764
statistics/probability,0.5
statistics/probability/probability,0.5
Calculate and Properties/Calculate/Fractions,0.6875
statistics,0.7115384615384616
geometry/Coordinate plane,0.7222222222222222
geometry/Coordinate plane/Coordinate plane,0.7222222222222222
Calculate and Properties/Properties/compare,0.75
geometry/Three-dimensional shapes/Cylinders,0.7647058823529411
statistics/Data,0.7894736842105263
Calculate and Properties/Properties/Patterns,0.7894736842105263
Calculate and Properties/Calculate/division,0.7894736842105263
statistics/Data/mode/mean/median/range,0.7894736842105263
Measurement/Ratio/ratio,0.7894736842105263
geometry/Two-dimensional shapes,0.797752808988764
Measurement/Size/volume,0.8
Calculate and Properties/Properties,0.8051948051948052
geometry,0.8215962441314554
statistics/Classifying and sorting,0.8235294117647058
geometry/angles,0.8235294117647058
"geometry/angles/Acute, right, obtuse, and straight angles",0.8235294117647058
statistics/Classifying and sorting/Classifying and sorting,0.8235294117647058
geometry/Three-dimensional shapes/Cones,0.8235294117647058
Measurement/Money/Exchanging money,0.8235294117647058
Calculate and Properties/Calculate/Rational number,0.8235294117647058
geometry/Three-dimensional shapes/Volume,0.8333333333333334
Calculate and Properties/Properties/count,0.8333333333333334
Measurement/Ratio/proportional,0.8333333333333334
geometry/Two-dimensional shapes/Perimeter,0.8421052631578947
Calculate and Properties/Properties/Estimation and rounding,0.85
Measurement/Basic knowledge/Time,0.85
acc,0.8600508905852418
Measurement/Size,0.864406779661017
geometry/Three-dimensional shapes,0.8651685393258427
Measurement/Ratio,0.8703703703703703
Calculate and Properties/Calculate/Place value,0.875
geometry/Two-dimensional shapes/quadrilaterals,0.8823529411764706
Calculate and Properties/Calculate/Mixed operations,0.8888888888888888
geometry/Two-dimensional shapes/Triangles,0.8888888888888888
geometry/Two-dimensional shapes/polygons,0.8888888888888888
Calculate and Properties,0.8892405063291139
Measurement,0.8926829268292683
Measurement/Size/Area,0.8947368421052632
Measurement/Size/length,0.9
Measurement/Money,0.9117647058823529
Calculate and Properties/Calculate,0.9163179916317992
Measurement/Basic knowledge,0.9230769230769231
geometry/Three-dimensional shapes/Spheres,0.9411764705882353
Measurement/weight,0.9473684210526315
Measurement/weight/Light and heavy,0.9473684210526315
Calculate and Properties/Calculate/Subtraction,0.9473684210526315
Calculate and Properties/Calculate/Variable expressions,0.9473684210526315
geometry/Three-dimensional shapes/Cubes,0.95
Calculate and Properties/Calculate/Decimals,0.95
Calculate and Properties/Calculate/Numerical expressions,0.95
Measurement/Money/Coin names and value,1.0
Calculate and Properties/Calculate/Multiple,1.0
Calculate and Properties/Calculate/Powers,1.0
Calculate and Properties/Calculate/add,1.0
Calculate and Properties/Calculate/equations,1.0
Measurement/Ratio/percents,1.0
Measurement/Basic knowledge/temperature,1.0
